Matthew Le Tissier,"[70.24100000000001, 100, [0.93, 1.004, 0.697, 0.81, 0.842, 0.673, 0.837, 0.727, 0.959, 1.846, 0.197, 0.282, 0.727, 0.016, 0.045, 0.697, 0.396, 1.207, 1.862, 0.225, 0.186, 0.998, 0.553, 0.756, 0.917, 1.589, 0.897, 0.67, 0.113, 0.03, 1.422, 0.374, 0.314, 0.618, 0.958, 0.348, 0.747, 0.246, 0.789, 0.911, 0.993, 0.92, 1.843, 0.853, 0.293, 0.0, 1.019, 0.262, 0.186, 1.862, 0.847, 0.892, 1.08, 0.847, 0.947, 0.653, 0.757, 0.065, 0.378, 0.843, 0.368, 0.2, 0.265, 1.528, 0.113, 0.897, 0.218, 0.977, 0.479, 0.111, 0.816, 0.396, 0.468, 0.868, 0.225, 0.977, 0.468, 1.145, 0.293, 0.842, 0.67, 0.67, 0.258, 1.298, 0.723, -0.002, 1.646, 0.706, 0.93, 0.842, 0.067, 0.953, 0.763, 0.853, 0.03, 0.917, 0.71, 0.686, 0.067, 1.845], [20.2, 53.1, 84.1, 175.1, 183.2, 214.2, 264.2, 338.2, 355.1, 355.1, 359.2, 379.1, 457.2, 457.2, 457.2, 505.1, 505.1, 593.1, 593.1, 599.2, 599.2, 631.2, 631.2, 685.2, 734.1, 744.2, 754.2, 767.1, 767.1, 767.1, 781.1, 837.1, 863.2, 863.2, 863.2, 876.1, 904.1, 904.1, 923.2, 923.2, 940.2, 978.2, 978.2, 985.1, 1017.1, 1029.2, 1061.1, 1113.2, 1113.2, 1133.1, 1143.1, 1171.2, 1213.1, 1304.1, 1304.1, 1319.2, 1341.2, 1358.1, 1384.1, 1393.1, 1393.1, 1393.1, 1503.1, 1716.1, 1733.1, 1746.2, 1781.2, 1804.1, 1843.1, 1843.1, 1855.2, 1863.1, 1871.1, 1880.2, 1955.2, 1988.1, 2023.1, 2033.2, 2128.1, 2271.2, 2278.1, 2321.1, 2400.1, 2424.1, 2432.2, 2432.2, 2449.1, 2487.1, 2498.2, 2525.2, 2553.1, 2582.1, 2621.1, 2651.1, 2789.2, 2819.1, 2988.2, 2988.2, 3213.1, 3665.1]]"
Ian Wright,"[79.22300000000001, 113, [0.4, 0.468, 0.93, 1.011, 0.97, 0.747, 1.646, 0.67, 1.346, 0.479, 1.025, 0.97, 0.641, 1.298, 0.692, 1.868, 0.757, 1.002, 0.265, 0.771, 1.129, 0.676, 0.697, 0.956, 1.887, 0.0, 0.463, 0.175, 0.817, 0.816, 0.214, 0.0, 0.741, 0.641, 0.084, 1.422, 0.897, 1.843, 0.018, 0.046, 0.615, 0.282, 0.741, 0.8, 0.397, 0.697, 0.468, 0.716, 0.816, 0.67, 0.406, 0.111, 0.02, 0.653, 0.065, 1.207, 0.8, 0.108, 1.868, 1.422, 0.377, 0.0, 0.265, 0.757, 0.917, 0.771, 0.858, 0.461, 0.917, 1.862, 0.92, 0.108, 1.392, 1.106, 0.246, 0.0, 0.641, 0.673, 0.615, 0.083, 0.757, 0.771, 1.135, 0.378, 1.197, 0.697, 0.441, 1.268, 0.641, 0.258, 0.842, 0.716, 0.86, 0.125, 0.93, 0.771, 0.406, 0.706, 1.003, 0.004, 0.113, 0.93, 0.0, 0.93, 1.654, 0.465, 0.103, 1.207, 1.145, 0.0, 0.692, 0.096, 0.673], [33.2, 40.1, 74.2, 74.2, 93.2, 109.1, 110.1, 133.1, 154.2, 155.1, 210.1, 334.2, 349.2, 426.1, 450.1, 474.2, 492.2, 508.1, 508.1, 529.1, 606.1, 619.2, 638.1, 660.1, 677.1, 697.2, 703.1, 719.2, 738.1, 788.2, 788.2, 788.2, 813.2, 813.2, 813.2, 868.1, 880.2, 880.2, 925.1, 987.1, 999.2, 1001.1, 1020.2, 1023.1, 1023.1, 1041.1, 1041.1, 1088.2, 1148.2, 1175.1, 1325.1, 1325.1, 1325.1, 1331.2, 1331.2, 1343.1, 1396.1, 1400.2, 1434.2, 1437.1, 1447.1, 1470.2, 1477.1, 1567.2, 1576.1, 1584.1, 1611.1, 1692.1, 1709.1, 1709.1, 1745.2, 1789.2, 1798.1, 1826.1, 1826.1, 1826.1, 1831.2, 1847.2, 1847.2, 1866.1, 1882.2, 1905.1, 1912.2, 1918.1, 1942.2, 1956.1, 1966.1, 2000.2, 2030.2, 2077.1, 2080.2, 2113.2, 2139.2, 2139.2, 2151.2, 2157.1, 2157.1, 2192.1, 2192.1, 2192.1, 2215.1, 2227.2, 2232.1, 2311.2, 2533.2, 2565.1, 2565.1, 2595.1, 2630.2, 2630.2, 2724.1, 2856.1, 2868.2]]"
Dion Dublin,"[86.56000000000003, 111, [1.868, 1.252, 1.01, 1.002, 0.67, 1.346, 0.757, 1.697, 0.522, 0.964, 0.842, 0.263, 0.771, 0.67, 0.084, 1.862, 0.692, 0.741, 0.692, 0.92, 0.368, 0.816, 0.762, 0.714, 0.378, 0.281, 0.892, 0.262, 0.842, 1.019, 0.893, 0.952, 0.789, 0.816, 0.456, 0.762, 0.843, 0.8, 1.843, 0.797, 0.67, 0.741, 0.817, 0.955, 1.845, 0.692, 0.679, 0.67, 1.646, 0.977, 0.943, 0.133, 0.034, 1.422, 1.887, 0.084, 0.993, 0.797, 0.747, 0.993, 0.461, 1.422, 0.255, 0.81, 0.468, 0.673, 1.135, 0.022, 0.454, 0.562, 0.959, 1.609, 0.392, 0.002, 0.378, 0.67, 1.078, 0.67, 1.422, 0.007, 0.998, 0.808, 0.789, 0.262, 0.893, 1.346, 0.615, 0.293, 0.757, 0.67, 0.952, 0.906, 0.809, 0.67, 0.93, 0.673, 0.327, 0.125, 1.609, 0.321, 0.789, 0.697, 0.692, 0.868, 0.0, 0.67, 0.463, 0.892, 0.917, -0.006, 0.741], [34.2, 852.1, 975.2, 979.1, 991.1, 1011.2, 1027.2, 1045.1, 1059.1, 1072.2, 1201.2, 1219.2, 1267.1, 1327.1, 1373.2, 1399.1, 1428.1, 1489.2, 1499.1, 1517.2, 1527.1, 1545.2, 1545.2, 1545.2, 1548.1, 1557.2, 1615.2, 1624.2, 1704.2, 1855.1, 1893.2, 1898.1, 1909.2, 1940.2, 1940.2, 1949.2, 1968.1, 2038.1, 2085.2, 2087.1, 2113.1, 2145.2, 2149.1, 2149.1, 2149.1, 2216.1, 2270.2, 2273.1, 2273.1, 2347.1, 2367.1, 2377.2, 2377.2, 2388.1, 2403.1, 2415.2, 2478.2, 2490.1, 2506.1, 2523.2, 2528.1, 2614.1, 2621.2, 2635.1, 2635.1, 2651.2, 2651.2, 2651.2, 2655.1, 2655.1, 2693.1, 2693.1, 2785.1, 2841.1, 2921.1, 2934.1, 2934.1, 2953.1, 2973.1, 2987.2, 3012.2, 3013.1, 3053.2, 3235.2, 3235.2, 3273.2, 3328.2, 3337.1, 3427.2, 3437.1, 3456.1, 3588.2, 3593.1, 3607.1, 3697.2, 3811.2, 3965.1, 4039.2, 4112.1, 4186.1, 4240.2, 4246.1, 4257.1, 4266.2, 4288.2, 4302.1, 4302.1, 4392.2, 4495.1, 4699.2, 4756.2]]"
Ryan Giggs,"[70.30500000000002, 109, [0.647, 0.964, 0.692, 0.641, 1.025, 1.646, 0.747, 0.741, 0.74, 0.897, 0.858, 0.414, 0.771, 0.076, 0.555, 0.681, 0.771, 0.535, 0.697, 0.697, 0.263, 0.919, 0.01, 1.358, 0.468, 0.385, 0.67, 0.486, 0.396, 0.176, 1.441, 0.0, 0.004, 0.031, 1.022, 1.145, 1.004, 0.113, 0.0, 1.059, 0.917, 0.332, 0.108, 0.747, 0.692, 1.022, 0.058, 1.482, 0.0, 0.842, 0.797, 0.057, 0.868, 1.346, 0.641, 0.789, 0.456, 1.609, 0.181, 0.816, 0.28, 0.553, 1.482, 0.673, 0.607, 0.338, 0.814, 0.757, 1.589, 0.255, 0.679, 0.018, 0.19, 0.814, 0.01, 0.771, 0.81, 0.293, 1.145, 0.498, 0.959, 0.917, 0.692, 0.964, 0.4, 0.763, 0.756, 0.67, 0.465, 1.056, 0.692, 0.0, 0.677, 0.133, 0.858, 0.4, 1.197, 0.842, 0.707, 0.006, 1.129, 0.065, 0.463, 0.01, 0.11, 0.195, 2.001, 0.697, 0.4], [51.2, 95.2, 234.1, 261.2, 306.1, 306.1, 323.1, 388.2, 442.1, 473.2, 490.1, 567.2, 653.1, 707.2, 707.2, 725.2, 743.1, 755.2, 806.1, 852.1, 893.2, 906.2, 964.1, 1429.2, 1442.1, 1478.2, 1513.1, 1513.1, 1589.1, 1647.1, 1713.2, 1733.2, 1752.1, 1762.2, 1820.1, 1984.2, 1996.1, 2255.1, 2255.1, 2324.1, 2361.1, 2361.1, 2399.2, 2405.1, 2514.1, 2609.1, 2711.1, 2777.2, 2962.1, 3018.2, 3081.2, 3081.2, 3224.2, 3258.2, 3339.2, 3448.2, 3504.2, 3611.1, 3655.2, 3681.2, 3708.2, 3743.2, 3849.2, 3864.2, 3864.2, 3980.2, 4057.2, 4077.2, 4117.2, 4241.2, 4300.2, 4360.1, 4373.2, 4376.2, 4466.1, 4664.1, 4703.1, 4703.1, 4744.2, 4744.2, 4793.1, 4940.1, 4993.1, 4997.2, 5013.2, 5170.1, 5341.1, 5491.1, 5491.1, 5590.2, 5599.1, 5823.2, 5837.2, 6035.2, 6099.1, 6326.2, 6573.2, 6668.2, 6749.2, 6840.2, 7058.1, 7058.1, 7084.1, 7096.1, 7313.1, 7630.2, 7724.2, 8105.1, 8111.2]]"
Paul Scholes,"[68.78999999999996, 106, [0.91, 0.727, 0.607, 0.771, 0.93, 1.002, 0.747, 0.01, 0.67, 0.673, 0.602, 0.343, 0.01, 0.0, 0.858, 0.0, 0.864, 0.906, 1.491, 0.8, 0.0, 0.268, 0.892, 0.06, 1.346, 0.673, 0.265, 0.81, 0.083, 0.998, 0.368, 0.058, 0.692, 1.197, 0.771, 0.246, 0.065, 0.74, 0.158, 0.0, 0.414, 0.697, 0.01, 0.756, 0.858, 0.108, 0.707, 0.741, 0.0, 0.406, 0.058, 0.789, 1.02, 0.757, 0.741, 0.86, 1.887, 0.763, 0.293, 1.862, 0.757, 0.8, 0.642, 0.666, 0.0, 1.022, 0.389, 1.288, 0.463, 1.135, 0.378, 0.692, 0.321, 1.207, 0.018, 0.842, 0.23, 0.406, 1.079, 0.014, 1.059, 0.763, -0.033, 0.06, 0.348, 0.93, 0.747, 0.81, 0.858, 0.553, 0.756, 0.919, 0.175, 0.953, 0.741, 0.697, 0.816, 0.995, 1.357, 2.0, 0.741, 0.939, 0.757, 0.332, 0.771, 1.059], [994.2, 1118.2, 1118.2, 1174.1, 1353.2, 1401.1, 1442.1, 1442.1, 1472.1, 1478.2, 1478.2, 1513.1, 1657.2, 1657.2, 1752.1, 1871.2, 1937.2, 2094.2, 2199.1, 2218.1, 2255.1, 2289.2, 2429.2, 2448.1, 2461.2, 2500.2, 2586.1, 2649.1, 2649.1, 2675.2, 2700.1, 2852.1, 2923.1, 2949.2, 3028.1, 3139.1, 3199.2, 3211.1, 3211.1, 3211.1, 3224.2, 3331.1, 3331.1, 3351.1, 3442.1, 3611.1, 3666.2, 3796.2, 3823.1, 3873.1, 3873.1, 3944.2, 3964.2, 3980.2, 4012.2, 4117.2, 4134.1, 4190.1, 4211.1, 4261.1, 4270.2, 4279.1, 4373.2, 4373.2, 4373.2, 4383.1, 4383.1, 4405.2, 4435.1, 4462.2, 4466.1, 4503.1, 4503.1, 4682.1, 4703.1, 4742.2, 4792.2, 4940.1, 4952.2, 4952.2, 4961.1, 4981.1, 4981.1, 4993.1, 5041.1, 5161.2, 5327.1, 5358.1, 5652.1, 5747.2, 5779.2, 5779.2, 5823.2, 5870.1, 5961.2, 6575.1, 6641.2, 6851.2, 6982.2, 7047.2, 7104.2, 7671.1, 7724.2, 7785.1, 7831.1, 7879.1]]"
Emile Heskey,"[77.69599999999998, 110, [0.692, 0.441, 1.129, 0.265, 0.692, 1.422, 0.44, 0.868, 0.741, 0.535, 0.18, 0.018, 0.747, 0.67, 0.06, 0.964, 0.553, 0.673, -0.139, 0.308, 0.757, 0.771, 0.8, 0.993, 1.207, 0.817, 0.692, 0.673, 0.93, 0.014, 1.145, 0.74, 0.468, 0.031, 0.93, 0.553, 1.298, 0.816, 0.615, 0.155, 1.298, 1.08, 0.174, 0.0, 0.13, 0.265, 0.964, 0.998, 0.673, 0.692, 0.892, 0.763, 1.129, 0.553, 0.1, 0.676, 0.0, 0.93, 1.846, 1.845, 0.741, 0.977, 0.084, 1.346, 0.858, 0.816, 0.246, 0.396, 0.004, 0.293, 0.615, 0.282, 0.692, 0.789, 0.103, 0.43, 0.842, 0.262, 1.059, 0.673, 1.491, 1.862, 0.757, 1.027, 0.697, 0.858, 0.858, 0.673, 0.67, 0.469, 1.004, 0.673, 0.842, 0.67, 0.747, 0.81, 0.999, 0.756, 0.02, 2.001, 0.692, 0.842, 0.697, 0.993, 0.842, 0.096, 1.843, 0.265, 0.919, 0.443], [1781.1, 1781.1, 1842.1, 1869.1, 1961.1, 1985.1, 2010.2, 2074.2, 2138.2, 2138.2, 2179.1, 2197.1, 2262.1, 2404.1, 2404.1, 2469.2, 2469.2, 2499.2, 2499.2, 2526.2, 2530.2, 2570.1, 2615.1, 2667.2, 2680.1, 2689.1, 2927.1, 2943.2, 2946.2, 2946.2, 3054.2, 3125.1, 3174.1, 3208.2, 3237.2, 3237.2, 3293.1, 3374.2, 3374.2, 3374.2, 3379.1, 3395.1, 3415.1, 3415.1, 3435.2, 3441.1, 3528.2, 3600.2, 3616.2, 3630.1, 3692.2, 3798.1, 3904.1, 3915.2, 3915.2, 3921.2, 3921.2, 3961.2, 4035.1, 4095.2, 4281.2, 4290.1, 4303.2, 4345.2, 4371.1, 4500.2, 4522.1, 4572.1, 4638.1, 4640.1, 4782.2, 4786.1, 4827.1, 4851.2, 4977.1, 4988.1, 5000.2, 5014.2, 5103.1, 5146.2, 5154.1, 5177.1, 5218.2, 5218.2, 5332.1, 5446.1, 5591.1, 5631.2, 5650.1, 5755.1, 5755.1, 5807.2, 5886.2, 5899.1, 5970.1, 6243.1, 6286.2, 6293.1, 6350.2, 6430.2, 6493.1, 6544.2, 6646.1, 6825.2, 6869.2, 6966.1, 7146.2, 7246.1, 7285.2, 7477.1]]"
